sample number,C axis (B),B axis (m),A axis (m),density (kg/m3),volume (m3),flow velocity (m/s)
30,0.12,0.15,0.37,2720,0.0028,1.34
18,0.15,0.18,0.30,2700,0.0037,1.36
17,0.15,0.17,0.26,2700,0.0028,1.42
15,0.17,0.20,0.38,2850,0.0054,1.43
32,0.15,0.23,0.43,2720,0.0062,1.52
33,0.18,0.21,0.32,2720,0.0054,1.52
23,0.20,0.27,0.50,2720,0.0113,1.54
8,0.18,0.26,0.52,2720,0.0102,1.57
9,0.27,0.27,0.59,2710,0.0158,1.60
37,0.09,0.21,0.26,2740,0.0020,1.61
28,0.20,0.30,0.58,2720,0.0144,1.63
7,0.18,0.27,0.49,2850,0.0102,1.66
12,0.23,0.23,0.41,3100,0.0091,1.67
4,0.15,0.21,0.40,2740,0.0054,1.69
11,0.14,0.24,0.44,2720,0.0062,1.71
6,0.18,0.29,0.37,2720,0.0082,1.72
13,0.23,0.23,0.29,2650,0.0062,1.77
21,0.27,0.29,0.43,2720,0.0142,1.77
16,0.17,0.34,0.46,2700,0.0108,1.78
34,0.15,0.30,0.37,2720,0.0071,1.85
1,0.21,0.26,0.40,2640,0.0091,1.85
26,0.27,0.34,0.52,2650,0.0198,1.91
29,0.20,0.30,0.37,2650,0.0093,1.95
2,0.11,0.34,0.37,2720,0.0054,1.96
35,0.14,0.29,0.38,2850,0.0065,2.01
3,0.09,0.32,0.43,2850,0.0051,2.04
27,0.29,0.41,0.52,2850,0.0258,2.20
19,0.24,0.29,0.44,2850,0.0130,2.22
14,0.18,0.30,0.49,2850,0.0198,2.24
24,0.17,0.40,0.47,2850,0.0127,2.24
22,0.24,0.34,0.35,2850,0.0119,2.33
25,0.21,0.44,0.52,2650,0.0204,2.38
36,0.37,0.46,0.61,2850,0.0425,2.56
31,0.24,0.52,0.58,2650,0.0306,2.59
10,0.17,0.38,0.50,2700,0.0133,2.63
20,0.18,0.43,0.47,2850,0.0153,2.98